"","region","block","data_source","station","longitude","latitude","year","station_year","date_start","date_end","survey_duration","fox","cat","bandicoot_sb","potoroo_ln","XGROUPNAME","EFG_NAME","treatment","foxbaits","elevation","ruggedness","wetness","rain_diff_percent_06months","rain_diff_percent_12months","rain_diff_percent_18months","rain_diff_percent_24months","tsf","n_fires","dist_nnv"
"1","glenelg","annya","glenelg_ark","a01",141.505222628494,-37.9822949772723,2013,"a01_2013","2013-11-06","2013-11-09",36,0,0,0,0,"Herb-rich Woodlands","Forby Forest","non-treatment",0,90.0882568359375,0.0331430435180664,7.33782720565796,30.2544936821498,5.49145170059804,4.86348744084466,5.52339901477846,23,3,166.915350058139
"2","glenelg","annya","glenelg_ark","a01",141.505222628494,-37.9822949772723,2014,"a01_2014","2014-11-05","2014-12-12",36,1,0,0,0,"Herb-rich Woodlands","Forby Forest","non-treatment",0,90.0882568359375,0.0331430435180664,7.33782720565796,-26.6405833185133,-7.74499789701382,9.18092464506746,1.23327694910058,24,3,166.915350058139
"3","glenelg","annya","glenelg_ark","a01",141.505222628494,-37.9822949772723,2015,"a01_2015","2015-11-12","2015-12-15",33,1,0,0,0,"Herb-rich Woodlands","Forby Forest","non-treatment",0,90.0882568359375,0.0331430435180664,7.33782720565796,-37.6651388514424,-22.9447254555427,-23.9684510333746,-16.1002171984458,25,3,166.915350058139
"4","glenelg","annya","glenelg_ark","a01",141.505222628494,-37.9822949772723,2016,"a01_2016","2016-11-22","2016-12-23",32,0,0,0,0,"Herb-rich Woodlands","Forby Forest","non-treatment",0,90.0882568359375,0.0331430435180664,7.33782720565796,24.7073884418434,10.6117504542701,-7.09164530628938,-6.42140468227436,26,3,166.915350058139
"5","glenelg","annya","glenelg_ark","a01",141.505222628494,-37.9822949772723,2017,"a01_2017","2017-11-15","2017-12-18",34,1,0,0,0,"Herb-rich Woodlands","Forby Forest","non-treatment",0,90.0882568359375,0.0331430435180664,7.33782720565796,-6.80958385876422,-0.213844931875059,11.3695373925763,5.64646372307048,27,3,166.915350058139
"6","glenelg","annya","glenelg_ark","a01",141.505222628494,-37.9822949772723,2018,"a01_2018","2018-11-13","2018-12-21",39,1,0,0,0,"Herb-rich Woodlands","Forby Forest","non-treatment",0,90.0882568359375,0.0331430435180664,7.33782720565796,-20.0108166576528,-13.875656528643,-10.7299270072992,-5.20492680094123,28,3,166.915350058139
"7","glenelg","annya","glenelg_ark","a01",141.505222628494,-37.9822949772723,2019,"a01_2019","2019-10-21","2019-12-16",57,1,0,0,0,"Herb-rich Woodlands","Forby Forest","non-treatment",0,90.0882568359375,0.0331430435180664,7.33782720565796,-10.9580463368817,-17.4278628032182,-14.0805223068553,-15.3094860212427,29,3,166.915350058139
"8","glenelg","annya","glenelg_ark","a02",141.515721836208,-37.9823485526657,2013,"a02_2013","2013-11-07","2013-12-11",36,1,0,0,0,"Lowland Forests","Tall Mixed Forest","non-treatment",0,100.603698730469,0.13284969329834,7.49569988250732,30.335678034013,5.72137797420836,4.88257782632455,5.31588003933134,23,3,1088.90132420655
"9","glenelg","annya","glenelg_ark","a02",141.515721836208,-37.9823485526657,2014,"a02_2014","2014-11-05","2014-12-12",36,1,0,0,0,"Lowland Forests","Tall Mixed Forest","non-treatment",0,100.603698730469,0.13284969329834,7.49569988250732,-26.6405833185133,-7.74499789701382,9.18092464506746,1.23327694910058,24,3,1088.90132420655
"10","glenelg","annya","glenelg_ark","a02",141.515721836208,-37.9823485526657,2015,"a02_2015","2015-11-12","2015-12-15",33,1,0,0,0,"Lowland Forests","Tall Mixed Forest","non-treatment",0,100.603698730469,0.13284969329834,7.49569988250732,-37.6651388514424,-22.9447254555427,-23.9684510333746,-16.1002171984458,25,3,1088.90132420655
